location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20240201T0200,8.530246
20240201T0300,8.800245
20240201T0400,8.740245
20240201T0500,8.520246
20240201T0600,8.520246
20240201T0700,8.510245
20240201T0800,8.480246
20240201T0900,8.500245
20240201T1000,8.870245
20240201T1100,9.290245
20240201T1200,9.610246
20240201T1300,9.800245
20240201T1400,9.900246
20240201T1500,10.010245
20240201T1600,9.730246
20240201T1700,9.290245
20240201T1800,8.520246
20240201T1900,8.350245
20240201T2000,7.8002453
20240201T2100,7.3402452
20240201T2200,6.6802454
20240201T2300,6.5102453
20240202T0000,6.3202453
20240202T0100,6.380245
20240202T0200,6.1402454
20240202T0300,5.710245
20240202T0400,5.610245
20240202T0500,5.860245
20240202T0600,6.0702453
20240202T0700,6.230245
20240202T0800,6.380245
20240202T0900,6.7802453
20240202T1000,8.280246
20240202T1100,9.3102455
20240202T1200,10.430245
20240202T1300,11.070246
20240202T1400,11.200245
20240202T1500,10.930245
20240202T1600,9.650246
20240202T1700,7.610245
20240202T1800,6.5502453
20240202T1900,5.6202455
20240202T2000,5.0902452
20240202T2100,4.7602453
20240202T2200,4.9302454
20240202T2300,4.7002454
20240203T0000,4.0402455
20240203T0100,3.9302454
20240203T0200,3.9402456
20240203T0300,3.9002452
20240203T0400,3.8402452
20240203T0500,3.5402455
20240203T0600,3.3002453
20240203T0700,3.3202453
20240203T0800,4.3902454
20240203T0900,5.8102455
20240203T1000,6.9902453
20240203T1100,8.330246
20240203T1200,8.930245
20240203T1300,9.460245
20240203T1400,9.630245
20240203T1500,9.150246
20240203T1600,7.9902453
20240203T1700,6.8402452
20240203T1800,6.0802455
20240203T1900,5.7802453
20240203T2000,5.670245
20240203T2100,5.5602455
20240203T2200,5.4702454
20240203T2300,5.360245
20240204T0000,5.4902453
20240204T0100,5.4102454
